ano,codigo_escola,escola,endereco_bairro,endereco_logradouro,endereco_numero,rpa,ano_ensino,modalidade_ensino_codigo,serie_codigo,modalidade_ensino,serie,turma,turno,matricula,sexo,idade,situacao_codigo,situacao_nome
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610444,1,5,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21671370,2,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610851,1,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610622,1,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,22006605,1,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,22150900,2,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610665,2,5,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21646589,1,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21657777,2,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,20068166,1,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610550,2,6,AP,APROVADO
2022,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,MANH,21610517,1,6,AP,APROVADO
